flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,delaySum_ns,jitterSum_ns,timeFirstTxPacket,timeLastRxPacket,throughput_kbps,source,destination,protocol,sourcePort,destinationPort
820,2416,2416,7,7,0,378966000.0,71460800.0,4.5,4.74753,78.08346463054976,10.5.36.1,10.10.5.4,6,49153,8000
821,264,264,5,5,0,203176000.0,547200.0,4.54496,4.68672,14.898419864559761,10.10.5.4,10.3.6.1,6,8003,49156
822,264,264,5,5,0,203102000.0,510400.0,4.54501,4.70418,13.268832066344194,10.10.5.4,10.3.16.1,6,8002,49155
823,264,264,5,5,0,203102000.0,510400.0,4.54505,4.70615,13.109869646182474,10.10.5.4,10.3.26.1,6,8001,49154
824,264,264,5,5,0,203102000.0,510400.0,4.5451,4.70813,12.954670919462675,10.10.5.4,10.3.36.1,6,8000,49153
825,264,264,5,5,0,203102000.0,510400.0,4.54515,4.70339,13.346814964610704,10.10.5.4,10.1.6.1,6,8003,49156
826,264,264,5,5,0,203102000.0,510400.0,4.54519,4.70378,13.31735922819848,10.10.5.4,10.2.6.1,6,8003,49156
827,264,264,5,5,0,203102000.0,510400.0,4.54524,4.70497,13.222312652601216,10.10.5.4,10.1.16.1,6,8002,49155
828,264,264,5,5,0,203102000.0,510400.0,4.54529,4.70536,13.194227525457599,10.10.5.4,10.2.16.1,6,8002,49155
829,264,264,5,5,0,203102000.0,510400.0,4.54533,4.70694,13.068498236495229,10.10.5.4,10.1.26.1,6,8001,49154
830,264,264,5,5,0,203102000.0,510400.0,4.54538,4.70734,13.04025685354404,10.10.5.4,10.2.26.1,6,8001,49154
831,264,264,5,5,0,203102000.0,510400.0,4.54543,4.70892,12.918221297938684,10.10.5.4,10.1.36.1,6,8000,49153
832,264,264,5,5,0,203102000.0,510400.0,4.54547,4.70932,12.88983826670735,10.10.5.4,10.2.36.1,6,8000,49153
833,264,264,5,5,0,203102000.0,510400.0,4.54552,4.70457,13.278843131090804,10.10.5.4,10.4.6.1,6,8003,49156
834,264,264,5,5,0,203102000.0,510400.0,4.54556,4.70655,13.11882725635133,10.10.5.4,10.4.16.1,6,8002,49155
835,264,264,5,5,0,203102000.0,510400.0,4.54561,4.70852,12.964213369345028,10.10.5.4,10.4.26.1,6,8001,49154
836,264,264,5,5,0,203102000.0,510400.0,4.54566,4.71011,12.84280936454846,10.10.5.4,10.4.36.1,6,8000,49153
837,264,264,5,5,0,203102000.0,510400.0,4.5457,4.70576,13.195051855554196,10.10.5.4,10.5.6.1,6,8003,49156
838,264,264,5,5,0,203102000.0,510400.0,4.54575,4.70773,13.038646746511931,10.10.5.4,10.5.16.1,6,8002,49155
839,264,264,5,5,0,203102000.0,510400.0,4.5458,4.70971,12.885119882862512,10.10.5.4,10.5.26.1,6,8001,49154
840,264,264,5,5,0,203102000.0,510400.0,4.54584,4.70299,13.43938911867645,10.10.5.4,10.5.36.1,6,8000,49153
841,2416,2416,7,7,0,387650000.0,77803200.0,4.6,4.84904,77.61002248634759,10.1.7.1,10.10.5.4,6,49156,8003
842,2416,2416,7,7,0,399523000.0,83475200.0,4.6,4.84926,77.54152290780696,10.1.17.1,10.10.5.4,6,49155,8002
843,2416,2416,7,7,0,390845000.0,88203200.0,4.6,4.85042,77.18233367941855,10.1.27.1,10.10.5.4,6,49154,8001
844,2416,2416,7,7,0,398856000.0,90646400.0,4.6,4.85149,76.85395045528637,10.1.37.1,10.10.5.4,6,49153,8000
845,2416,2416,7,7,0,380664000.0,74536000.0,4.6,4.84891,77.6505564260173,10.2.7.1,10.10.5.4,6,49156,8003
846,2416,2416,7,7,0,392840000.0,80251200.0,4.6,4.84908,77.59755901718317,10.2.17.1,10.10.5.4,6,49155,8002
847,2416,2416,7,7,0,404757000.0,85880000.0,4.6,4.84934,77.51664394000157,10.2.27.1,10.10.5.4,6,49154,8001
848,2416,2416,7,7,0,397022000.0,89664000.0,4.6,4.85145,76.86617617816658,10.2.37.1,10.10.5.4,6,49153,8000
849,2416,2416,7,7,0,389526000.0,78742400.0,4.6,4.84913,77.58198530887486,10.3.7.1,10.10.5.4,6,49156,8003
850,2416,2416,7,7,0,401357000.0,84457600.0,4.6,4.8493,77.52908142799816,10.3.17.1,10.10.5.4,6,49155,8002
851,2416,2416,7,7,0,393622000.0,88241600.0,4.6,4.8514,76.88146380270476,10.3.27.1,10.10.5.4,6,49154,8001
852,2416,2416,7,7,0,380261000.0,71811200.0,4.6,4.84883,77.67552144034055,10.3.37.1,10.10.5.4,6,49153,8000
853,2416,2416,7,7,0,352216000.0,44563200.0,4.6,4.82809,84.73848042439359,10.4.7.1,10.10.5.4,6,49156,8003
854,2416,2416,7,7,0,384078000.0,76036800.0,4.6,4.84896,77.6349614395886,10.4.17.1,10.10.5.4,6,49155,8002
855,2416,2416,7,7,0,395946000.0,81656000.0,4.6,4.84917,77.56953084239666,10.4.27.1,10.10.5.4,6,49154,8001
856,2416,2416,7,7,0,387131000.0,86331200.0,4.6,4.85033,77.2100826908481,10.4.37.1,10.10.5.4,6,49153,8000
857,2416,2416,7,7,0,378936000.0,73798400.0,4.6,4.84887,77.66303692690958,10.5.7.1,10.10.5.4,6,49156,8003
858,2416,2416,7,7,0,386472000.0,77132800.0,4.6,4.849,77.62248995983919,10.5.17.1,10.10.5.4,6,49155,8002
859,2416,2416,7,7,0,398210000.0,82752000.0,4.6,4.84921,77.55708037398159,10.5.27.1,10.10.5.4,6,49154,8001
860,2416,2416,7,7,0,389395000.0,87427200.0,4.6,4.85037,77.1977473339457,10.5.37.1,10.10.5.4,6,49153,8000
861,264,264,5,5,0,203176000.0,547200.0,4.64578,4.78755,14.897368977921968,10.10.5.4,10.4.7.1,6,8003,49156
862,264,264,5,5,0,203102000.0,510400.0,4.64583,4.80421,13.335017047607005,10.10.5.4,10.5.7.1,6,8003,49156
863,264,264,5,5,0,203102000.0,510400.0,4.64588,4.805,13.27300150829565,10.10.5.4,10.4.17.1,6,8002,49155
864,264,264,5,5,0,203102000.0,510400.0,4.64592,4.8054,13.243039879608778,10.10.5.4,10.5.17.1,6,8002,49155
865,264,264,5,5,0,203102000.0,510400.0,4.64597,4.80698,13.11719768958449,10.10.5.4,10.4.27.1,6,8001,49154
866,264,264,5,5,0,203102000.0,510400.0,4.64602,4.80737,13.089556863960363,10.10.5.4,10.5.27.1,6,8001,49154
867,264,264,5,5,0,203102000.0,510400.0,4.64606,4.80895,12.965805144576095,10.10.5.4,10.4.37.1,6,8000,49153
868,264,264,5,5,0,203102000.0,510400.0,4.64611,4.80935,12.938005390835574,10.10.5.4,10.5.37.1,6,8000,49153
869,264,264,5,5,0,203102000.0,510400.0,4.64616,4.8046,13.329967180005076,10.10.5.4,10.2.7.1,6,8003,49156
870,264,264,5,5,0,203102000.0,510400.0,4.6462,4.80658,13.168724279835393,10.10.5.4,10.2.17.1,6,8002,49155
871,264,264,5,5,0,203102000.0,510400.0,4.64625,4.80856,13.012137268190521,10.10.5.4,10.2.27.1,6,8001,49154
872,264,264,5,5,0,203102000.0,510400.0,4.64629,4.81053,12.85923039454454,10.10.5.4,10.2.37.1,6,8000,49153
873,264,264,5,5,0,203102000.0,510400.0,4.64634,4.80579,13.245531514581403,10.10.5.4,10.1.7.1,6,8003,49156
874,264,264,5,5,0,203102000.0,510400.0,4.64639,4.80777,13.087123559301075,10.10.5.4,10.1.17.1,6,8002,49155
875,264,264,5,5,0,203102000.0,510400.0,4.64643,4.80974,12.932459739146404,10.10.5.4,10.1.27.1,6,8001,49154
876,264,264,5,5,0,203102000.0,510400.0,4.64648,4.81093,12.84280936454853,10.10.5.4,10.1.37.1,6,8000,49153
877,264,264,5,5,0,203102000.0,510400.0,4.64653,4.80619,13.22810973318304,10.10.5.4,10.3.7.1,6,8003,49156
878,264,264,5,5,0,203102000.0,510400.0,4.64657,4.80816,13.070115724982953,10.10.5.4,10.3.17.1,6,8002,49155
879,264,264,5,5,0,203102000.0,510400.0,4.64662,4.81014,12.915851272015718,10.10.5.4,10.3.27.1,6,8001,49154
880,264,264,5,5,0,203102000.0,510400.0,4.64667,4.80381,13.440244368079416,10.10.5.4,10.3.37.1,6,8000,49153
881,2416,2416,7,7,0,354454000.0,46329600.0,4.7,4.92938,84.26192344581048,10.1.8.1,10.10.5.4,6,49156,8003
882,2416,2416,7,7,0,390878000.0,79675200.0,4.7,4.95038,77.19466411055201,10.1.18.1,10.10.5.4,6,49155,8002
883,2416,2416,7,7,0,402232000.0,85088000.0,4.7,4.9506,77.12689545091796,10.1.28.1,10.10.5.4,6,49154,8001
884,2416,2416,7,7,0,392984000.0,89184000.0,4.7,4.95223,76.62847401181463,10.1.38.1,10.10.5.4,6,49153,8000
885,2416,2416,7,7,0,381304000.0,75291200.0,4.7,4.95021,77.24711242556252,10.2.8.1,10.10.5.4,6,49156,8003
886,2416,2416,7,7,0,393142000.0,80771200.0,4.7,4.95042,77.18233367941855,10.2.18.1,10.10.5.4,6,49155,8002
887,2416,2416,7,7,0,404493000.0,86190400.0,4.7,4.95064,77.11458665815519,10.2.28.1,10.10.5.4,6,49154,8001
888,2416,2416,7,7,0,395245000.0,90286400.0,4.7,4.95227,76.61632378007684,10.2.38.1,10.10.5.4,6,49153,8000
889,2416,2416,7,7,0,383827000.0,76387200.0,4.7,4.95025,77.2347652347654,10.3.8.1,10.10.5.4,6,49156,8003
890,2416,2416,7,7,0,395406000.0,81867200.0,4.7,4.95047,77.1669261787839,10.3.18.1,10.10.5.4,6,49155,8002
891,2416,2416,7,7,0,406754000.0,87292800.0,4.7,4.95068,77.10228179352161,10.3.28.1,10.10.5.4,6,49154,8001
892,2416,2416,7,7,0,397506000.0,91388800.0,4.7,4.95231,76.60417740081658,10.3.38.1,10.10.5.4,6,49153,8000
893,2416,2416,7,7,0,386350000.0,77483200.0,4.7,4.95029,77.22242199049113,10.4.8.1,10.10.5.4,6,49156,8003
894,2416,2416,7,7,0,397710000.0,82883200.0,4.7,4.95051,77.15460460660246,10.4.18.1,10.10.5.4,6,49155,8002
895,2416,2416,7,7,0,387518000.0,87923200.0,4.7,4.9512,76.9426751592357,10.4.28.1,10.10.5.4,6,49154,8001
896,2416,2416,7,7,0,378866000.0,72201600.0,4.7,4.95012,77.27490804413884,10.4.38.1,10.10.5.4,6,49153,8000
897,2416,2416,7,7,0,388614000.0,78579200.0,4.7,4.95034,77.20699848206452,10.5.8.1,10.10.5.4,6,49156,8003
898,2416,2416,7,7,0,399971000.0,83985600.0,4.7,4.95055,77.14228696866904,10.5.18.1,10.10.5.4,6,49155,8002
899,2416,2416,7,7,0,389779000.0,89025600.0,4.7,4.95124,76.9304250915459,10.5.28.1,10.10.5.4,6,49154,8001
900,2416,2416,7,7,0,383014000.0,73304000.0,4.7,4.95016,77.26255196674123,10.5.38.1,10.10.5.4,6,49153,8000
901,264,264,5,5,0,203176000.0,547200.0,4.74661,4.88884,14.849187935034843,10.10.5.4,10.1.8.1,6,8003,49156
902,264,264,5,5,0,203102000.0,510400.0,4.74665,4.90543,13.301423353067126,10.10.5.4,10.2.8.1,6,8003,49156
903,264,264,5,5,0,203102000.0,510400.0,4.7467,4.90582,13.273001508295575,10.10.5.4,10.3.8.1,6,8003,49156
904,264,264,5,5,0,203102000.0,510400.0,4.74675,4.90622,13.243870320436391,10.10.5.4,10.4.8.1,6,8003,49156
905,264,264,5,5,0,203102000.0,510400.0,4.74679,4.90661,13.214866725065711,10.10.5.4,10.5.8.1,6,8003,49156
906,264,264,5,5,0,203102000.0,510400.0,4.74684,4.90701,13.1859898857464,10.10.5.4,10.1.18.1,6,8002,49155
907,264,264,5,5,0,203102000.0,510400.0,4.74688,4.9074,13.157238973336657,10.10.5.4,10.2.18.1,6,8002,49155
908,264,264,5,5,0,203102000.0,510400.0,4.74693,4.9078,13.128613165910357,10.10.5.4,10.3.18.1,6,8002,49155
909,264,264,5,5,0,203102000.0,510400.0,4.74698,4.90819,13.100924260281579,10.10.5.4,10.4.18.1,6,8002,49155
910,264,264,5,5,0,203102000.0,510400.0,4.74702,4.90859,13.071733613913457,10.10.5.4,10.5.18.1,6,8002,49155
911,264,264,5,5,0,203102000.0,510400.0,4.74707,4.90898,13.044283861404503,10.10.5.4,10.1.28.1,6,8001,49154
912,264,264,5,5,0,203102000.0,510400.0,4.74712,4.90938,13.016146924688783,10.10.5.4,10.2.28.1,6,8001,49154
